,MoH,AL-21,M2,VT,WeN3,SWAN-1,SMA-27,E09F3,BRM9,congo,A8P,MK4,petro,CANT
ko00000,279.0,241.0,288.0,256.0,230.0,227.0,250.0,231.0,249.0,239.0,241.0,290.0,229.0,219.0
"ko00000,ko00001,ko00002,ko01000",245.0,230.0,242.0,227.0,222.0,223.0,224.0,215.0,218.0,216.0,211.0,242.0,225.0,221.0
"ko00000,ko00001,ko01000",175.0,147.0,175.0,155.0,141.0,156.0,158.0,144.0,146.0,146.0,141.0,175.0,149.0,130.0
"br01610,ko00000,ko00001,ko00002,ko03011",61.0,58.0,57.0,58.0,59.0,59.0,58.0,59.0,58.0,59.0,55.0,57.0,56.0,58.0
"ko00000,ko01000",56.0,39.0,51.0,37.0,44.0,46.0,37.0,39.0,39.0,43.0,47.0,51.0,43.0,40.0
"ko00000,ko02000",47.0,37.0,47.0,36.0,29.0,38.0,32.0,32.0,34.0,34.0,36.0,47.0,37.0,30.0
"ko00000,ko00002,ko02000",42.0,38.0,43.0,30.0,28.0,31.0,28.0,30.0,36.0,30.0,36.0,43.0,26.0,20.0
"ko00000,ko00001,ko00002,ko02000",41.0,21.0,40.0,20.0,26.0,25.0,20.0,23.0,26.0,21.0,24.0,40.0,24.0,22.0
"ko00000,ko03000",24.0,13.0,26.0,18.0,15.0,20.0,18.0,19.0,19.0,19.0,20.0,26.0,20.0,12.0
"ko00000,ko01000,ko03016",22.0,19.0,22.0,22.0,22.0,19.0,22.0,21.0,19.0,21.0,21.0,22.0,19.0,19.0
"br01601,ko00000,ko00001,ko00002,ko01000",20.0,22.0,21.0,21.0,20.0,22.0,22.0,19.0,21.0,19.0,21.0,21.0,21.0,21.0
"ko00000,ko00001",20.0,20.0,18.0,17.0,18.0,17.0,16.0,15.0,17.0,17.0,15.0,18.0,17.0,16.0
"ko00000,ko00001,ko00002",15.0,15.0,15.0,14.0,14.0,16.0,13.0,13.0,13.0,14.0,14.0,15.0,14.0,14.0
"ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,15.0
"ko00000,ko00001,ko01000,ko03400",13.0,10.0,12.0,12.0,9.0,11.0,9.0,7.0,10.0,8.0,11.0,12.0,8.0,6.0
