,MoH,AL-21,M2,VT,WeN3,SWAN-1,SMA-27,E09F3,BRM9,congo,A8P,MK4,petro,CANT
S,613,500,649,486,427,491,473,437,473,451,448,650,447,405
C,270,216,256,217,206,217,223,202,201,196,203,258,204,194
E,196,187,206,176,151,157,167,146,156,154,147,205,144,143
K,173,124,177,128,106,115,114,118,132,118,128,177,124,97
J,170,162,163,161,164,163,163,166,165,165,163,163,161,162
H,157,139,157,138,140,140,136,128,138,131,131,157,141,128
M,128,100,122,87,78,94,89,94,77,104,85,122,84,79
T,117,86,120,94,75,43,98,45,89,46,88,121,77,63
P,116,93,122,104,91,97,98,86,98,86,90,122,93,83
L,109,88,107,105,93,99,112,103,103,101,148,107,88,90
G,79,63,76,56,53,59,48,57,50,59,48,76,57,41
O,72,63,76,64,57,66,63,54,55,55,62,76,55,55
F,60,60,59,62,54,58,63,54,55,54,56,59,59,55
V,48,32,49,23,37,36,23,40,40,42,43,49,38,32
Q,47,27,48,28,40,35,24,20,29,25,28,48,33,29
I,36,30,38,31,33,28,31,28,34,31,32,38,33,34
U,24,16,26,13,16,15,13,16,18,17,15,26,13,15
D,22,21,20,17,19,18,15,18,18,18,18,20,20,13
N,4,5,4,4,3,3,5,3,3,3,4,4,3,3
KLT,3,4,6,2,3,2,2,1,3,1,5,6,2,0
EGP,3,4,4,2,1,0,2,1,1,3,1,5,2,1
IQ,3,2,3,3,0,5,2,2,1,1,1,3,3,1
KT,2,1,2,1,2,0,1,0,0,0,1,2,1,3
FG,2,2,2,2,2,2,2,3,3,3,3,2,2,3
JM,1,1,1,0,0,0,1,0,0,0,0,1,0,0
MP,1,1,1,0,1,0,0,0,0,0,0,1,0,0
IM,1,0,1,0,1,0,0,0,0,0,1,1,1,1
GM,1,0,1,1,0,0,0,0,1,0,2,1,1,0
LT,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BQ,1,0,1,1,1,1,1,1,1,1,1,1,1,1
CG,1,1,1,1,1,1,2,1,0,1,0,1,0,2
HJ,1,1,1,1,0,1,1,1,0,1,0,1,0,0
EG,1,0,1,0,0,0,0,0,0,0,0,1,0,0
CP,0,3,0,3,2,1,3,1,3,1,3,0,3,1
CH,0,1,0,0,1,1,0,0,0,0,0,0,0,0
LV,0,1,0,1,0,0,0,0,0,1,0,0,0,0
CO,0,0,1,0,0,0,0,0,0,1,0,1,0,0
FJ,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NT,0,0,0,0,0,1,0,1,0,0,0,0,0,0
OU,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EF,0,0,0,0,0,0,0,1,0,1,0,0,0,1
KL,0,0,0,0,0,0,0,0,0,0,0,0,1,1
UW,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AJ,0,0,0,0,0,0,0,0,0,0,0,0,1,0
KP,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GT,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pureS,613,500,649,486,427,491,473,437,473,451,448,650,447,405
pureC,270,220,257,220,209,219,226,203,204,198,206,259,207,195
pureE,200,191,211,178,152,157,169,148,157,158,148,211,146,145
pureK,178,129,185,131,111,117,117,119,135,119,134,185,128,102
pureJ,172,164,165,162,165,164,165,167,165,166,163,165,162,162
pureH,158,141,158,139,141,142,137,129,138,132,131,158,141,128
pureM,132,102,126,88,80,94,90,94,78,104,88,126,86,80
pureT,123,92,129,98,81,47,102,48,93,48,95,130,81,68
pureP,120,101,127,109,95,98,103,88,102,90,94,128,98,86
pureL,113,94,114,109,97,102,115,105,107,104,154,114,92,92
pureG,87,70,85,62,57,62,54,62,55,66,54,86,62,48
pureO,47,27,49,28,40,35,25,20,29,26,28,49,33,29
pureF,62,62,61,64,57,60,65,58,58,58,59,61,61,59
pureV,48,33,49,24,37,36,23,40,40,43,43,49,38,32
pureQ,51,29,52,32,41,41,27,23,31,27,30,52,37,31
pureI,40,32,42,34,34,33,33,30,35,32,34,42,37,36
pureU,24,16,26,13,16,15,14,16,18,17,15,26,13,15
pureD,22,21,20,17,19,18,15,18,18,18,18,20,20,13
pureN,4,5,4,4,3,4,5,4,3,3,4,4,3,3
pureW,0,0,0,0,0,0,0,0,0,0,0,0,1,0
