,MoH,AL-21,M2,VT,WeN3,SWAN-1,SMA-27,E09F3,BRM9,congo,A8P,MK4,petro,CANT
2.7.7.6,13.0,12.0,13.0,12.0,12.0,11.0,12.0,12.0,12.0,11.0,12.0,13.0,12.0,12.0
2.1.1.86,12.0,8.0,11.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,11.0,9.0,8.0
1.17.1.9,11.0,1.0,5.0,1.0,3.0,4.0,7.0,4.0,2.0,4.0,3.0,5.0,3.0,1.0
1.2.7.12,11.0,8.0,11.0,8.0,8.0,9.0,6.0,6.0,9.0,6.0,6.0,11.0,8.0,6.0
2.8.4.1,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,6.0,3.0,6.0,6.0,6.0,6.0
3.5.1.28,6.0,0.0,6.0,0.0,1.0,7.0,0.0,4.0,4.0,3.0,5.0,6.0,2.0,0.0
2.7.8.12,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8.7.3,5.0,7.0,2.0,5.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,3.0
1.8.98.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0
1.5.98.2,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
2.7.7.7,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0
3.6.4.12,4.0,5.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,5.0,4.0,3.0,3.0,1.0
"1.8.7.3,1.8.98.4,1.8.98.5,1.8.98.6",4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
1.12.98.1,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0
1.2.7.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.2.1.2,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
1.97.1.4,4.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,5.0,4.0
3.1.26.5,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1.18.6.1,4.0,10.0,4.0,4.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0
4.2.1.20,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2.5.1.77,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
3.1.22.4,3.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0
4.1.1.44,3.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0
5.3.1.27,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
