,MoH,AL-21,M2,VT,WeN3,SWAN-1,SMA-27,E09F3,BRM9,congo,A8P,MK4,petro,CANT
"M00178,M00179",30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
"M00177,M00179",29.0,28.0,27.0,28.0,29.0,29.0,28.0,29.0,28.0,29.0,25.0,27.0,26.0,28.0
M00567,24.0,17.0,23.0,18.0,18.0,19.0,15.0,15.0,18.0,15.0,15.0,23.0,18.0,16.0
M00254,22.0,20.0,17.0,15.0,11.0,16.0,15.0,16.0,17.0,13.0,24.0,17.0,17.0,12.0
"M00359,M00360",16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,16.0
M00258,15.0,13.0,19.0,13.0,8.0,13.0,8.0,11.0,14.0,13.0,12.0,19.0,8.0,4.0
M00184,13.0,11.0,13.0,11.0,12.0,11.0,11.0,12.0,12.0,11.0,12.0,13.0,12.0,12.0
"M00357,M00567",12.0,8.0,11.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,11.0,9.0,8.0
"M00245,M00246",12.0,7.0,14.0,9.0,9.0,8.0,7.0,10.0,9.0,8.0,9.0,14.0,10.0,9.0
M00048,11.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
M00240,10.0,4.0,8.0,0.0,3.0,6.0,3.0,3.0,7.0,3.0,6.0,8.0,0.0,3.0
M00026,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,11.0
"M00356,M00357,M00563,M00567",10.0,10.0,10.0,9.0,9.0,6.0,6.0,6.0,9.0,6.0,9.0,10.0,9.0,9.0
M00051,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0
M00121,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
M00159,9.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0
M00053,9.0,9.0,8.0,9.0,7.0,10.0,11.0,9.0,9.0,9.0,9.0,8.0,10.0,7.0
M00023,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
M00335,8.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0
"M00009,M00011,M00173,M00374,M00620",6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
"M00345,M00580",6.0,4.0,6.0,4.0,4.0,6.0,4.0,5.0,5.0,5.0,4.0,6.0,5.0,4.0
M00378,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0
M00239,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
M00582,6.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,8.0,1.0
"M00009,M00011,M00173,M00620",5.0,7.0,6.0,6.0,5.0,7.0,6.0,4.0,6.0,4.0,7.0,6.0,6.0,6.0
M00358,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
M00836,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0,4.0
M00127,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
M00793,5.0,4.0,6.0,6.0,4.0,5.0,6.0,7.0,4.0,6.0,4.0,6.0,6.0,5.0
"M00019,M00570",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
M00222,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
M00022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0
"M00390,M00391",4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0
"M00432,M00535",4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
M00125,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
"M00016,M00525,M00526,M00527",4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0
"M00173,M00307,M00374,M00620",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
M00175,4.0,10.0,4.0,4.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0
M00115,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0
M00049,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0
M00072,3.0,4.0,8.0,2.0,2.0,7.0,4.0,2.0,2.0,1.0,2.0,8.0,1.0,1.0
"M00001,M00002,M00003",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
M00050,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
M00021,3.0,2.0,3.0,5.0,2.0,3.0,6.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0
M00356,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
M00117,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0
M00357,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0
M00360,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
M00133,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
M00122,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
M00743,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,6.0,3.0,5.0,3.0
M00034,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0
"M00083,M00572",3.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,3.0,4.0,0.0
M00176,3.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0
M00177,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M00425,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
M00620,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"M00173,M00620",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
M00095,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"M00029,M00844,M00845",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"M00342,M00343",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
M00120,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
M00179,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"M00357,M00377,M00422",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
M00362,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
