,MoH,AL-21,M2,VT,WeN3,SWAN-1,SMA-27,E09F3,BRM9,congo,A8P,MK4,petro,CANT
"ko03010,map03010",63.0,59.0,58.0,59.0,60.0,60.0,59.0,60.0,59.0,60.0,56.0,58.0,57.0,59.0
"ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200",45.0,34.0,43.0,34.0,34.0,32.0,28.0,29.0,37.0,29.0,33.0,43.0,35.0,32.0
"ko02010,map02010",42.0,24.0,40.0,22.0,31.0,29.0,24.0,25.0,30.0,23.0,27.0,40.0,32.0,26.0
"ko00970,map00970",19.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,19.0
"ko00860,ko01100,map00860,map01100",17.0,14.0,18.0,13.0,18.0,13.0,13.0,14.0,17.0,14.0,14.0,18.0,21.0,15.0
"ko00680,map00680",16.0,17.0,13.0,15.0,14.0,17.0,14.0,14.0,12.0,14.0,13.0,13.0,10.0,13.0
"ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020",13.0,11.0,13.0,11.0,12.0,11.0,11.0,12.0,12.0,11.0,12.0,13.0,12.0,12.0
"ko00680,ko01100,ko01120,map00680,map01100,map01120",12.0,12.0,13.0,12.0,14.0,11.0,10.0,11.0,11.0,10.0,11.0,13.0,13.0,13.0
"ko00240,ko01100,map00240,map01100",12.0,13.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,13.0,13.0
"ko00630,ko00680,ko01100,ko01120,ko01200,map00630,map00680,map01100,map01120,map01200",11.0,1.0,5.0,1.0,3.0,4.0,7.0,4.0,2.0,4.0,3.0,5.0,3.0,1.0
"ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230",10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0
"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130",10.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
"ko00680,ko01120,map00680,map01120",10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
"ko00190,ko01100,map00190,map01100",10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0
"ko03410,map03410",10.0,7.0,10.0,10.0,7.0,8.0,9.0,5.0,7.0,4.0,7.0,10.0,6.0,5.0
"ko00790,ko01100,map00790,map01100",9.0,7.0,9.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0
