,MoH,AL-21,M2,VT,WeN3,SWAN-1,SMA-27,E09F3,BRM9,congo,A8P,MK4,petro,CANT
"R03015,R08060,R11743",13.0,10.0,13.0,10.0,10.0,12.0,8.0,8.0,11.0,8.0,8.0,13.0,10.0,8.0
"R00435,R00441,R00442,R00443",13.0,12.0,13.0,12.0,12.0,11.0,12.0,12.0,12.0,11.0,12.0,13.0,12.0,12.0
R04347,12.0,8.0,11.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,11.0,9.0,8.0
R00519,11.0,1.0,5.0,1.0,3.0,4.0,7.0,4.0,2.0,4.0,3.0,5.0,3.0,1.0
R04541,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,6.0,3.0,6.0,6.0,6.0,6.0
R04112,6.0,0.0,6.0,0.0,1.0,7.0,0.0,4.0,4.0,3.0,5.0,6.0,2.0,0.0
R00086,5.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0
R11931,5.0,7.0,2.0,5.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,3.0
R03025,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,7.0
"R01196,R01199,R08034",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
R09735,4.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0
"R00019,R11943",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0
"R00375,R00376,R00377,R00378",4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0
"R04540,R11928,R11931,R11943,R11944",4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
R01082,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
R04464,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
"R05185,R05496",4.0,10.0,4.0,4.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0
"R03905,R04212",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
R05227,3.0,0.0,4.0,0.0,5.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,5.0,2.0
R00143,3.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0
R02021,3.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0
R09396,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
"R05339,R09780",3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
R03470,3.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0
"R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671",3.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,3.0,4.0,0.0
R04710,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0
R04463,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
