,MoH,AL-21,M2,VT,WeN3,SWAN-1,SMA-27,E09F3,BRM9,congo,A8P,MK4,petro,CANT
ko:K01992,11.0,11.0,9.0,8.0,6.0,8.0,8.0,8.0,9.0,7.0,12.0,9.0,9.0,6.0
ko:K01990,11.0,9.0,8.0,7.0,5.0,8.0,7.0,8.0,8.0,6.0,12.0,8.0,8.0,6.0
ko:K07011,8.0,5.0,8.0,5.0,3.0,5.0,7.0,6.0,5.0,7.0,6.0,8.0,5.0,2.0
ko:K02003,8.0,7.0,10.0,6.0,4.0,6.0,4.0,5.0,7.0,6.0,6.0,10.0,3.0,2.0
ko:K02004,7.0,6.0,9.0,7.0,4.0,7.0,4.0,6.0,7.0,7.0,6.0,9.0,5.0,2.0
ko:K07052,7.0,4.0,11.0,3.0,7.0,4.0,3.0,5.0,7.0,7.0,4.0,11.0,5.0,5.0
ko:K01449,6.0,0.0,6.0,0.0,1.0,7.0,0.0,4.0,4.0,3.0,5.0,6.0,2.0,0.0
ko:K00123,6.0,1.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0
ko:K11261,6.0,3.0,6.0,3.0,3.0,4.0,1.0,1.0,4.0,1.0,1.0,6.0,3.0,1.0
ko:K02016,6.0,2.0,4.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,4.0,0.0,1.0
ko:K00125,5.0,0.0,2.0,0.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0
ko:K09809,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ko:K03975,5.0,2.0,5.0,3.0,2.0,2.0,1.0,2.0,3.0,6.0,2.0,5.0,1.0,1.0
ko:K13993,5.0,7.0,5.0,8.0,3.0,4.0,9.0,4.0,3.0,2.0,3.0,5.0,3.0,2.0
ko:K10716,5.0,5.0,5.0,7.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,2.0
ko:K03294,5.0,3.0,5.0,7.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,5.0,0.0,0.0
ko:K00577,5.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0
ko:K02007,4.0,2.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,5.0,4.0,4.0
ko:K00320,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
