,MoH,AL-21,M2,VT,WeN3,SWAN-1,SMA-27,E09F3,BRM9,congo,A8P,MK4,petro,CANT
RC00002,34.0,33.0,38.0,32.0,33.0,34.0,30.0,30.0,30.0,34.0,31.0,38.0,34.0,31.0
"RC00055,RC00523",20.0,20.0,20.0,20.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,20.0
RC02795,17.0,17.0,17.0,17.0,16.0,15.0,17.0,16.0,17.0,15.0,17.0,17.0,16.0,16.0
RC00011,15.0,16.0,12.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,13.0,12.0,9.0,11.0
"RC00197,RC00323",15.0,12.0,15.0,12.0,12.0,14.0,10.0,10.0,13.0,10.0,10.0,15.0,12.0,10.0
"RC00002,RC00017",13.0,11.0,13.0,11.0,11.0,12.0,11.0,11.0,10.0,11.0,10.0,13.0,11.0,12.0
"RC00035,RC00113,RC02892",12.0,8.0,11.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,11.0,9.0,8.0
RC02796,11.0,1.0,5.0,1.0,3.0,4.0,8.0,4.0,2.0,4.0,3.0,5.0,3.0,1.0
"RC00064,RC00141",9.0,3.0,8.0,3.0,4.0,11.0,3.0,8.0,9.0,7.0,9.0,8.0,6.0,3.0
RC00017,7.0,6.0,8.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,4.0
"RC00004,RC00014",6.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0
RC00010,6.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,8.0,8.0,7.0
"RC00002,RC00078",6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0
RC00299,6.0,6.0,6.0,6.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,6.0,6.0,5.0
"RC00011,RC01542",6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,6.0,3.0,6.0,6.0,6.0,6.0
RC02628,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,7.0
"RC00004,RC00250,RC02742,RC02833",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
RC00443,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
RC00613,4.0,2.0,3.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0
RC03462,4.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0
"RC00002,RC01395,RC02891",4.0,10.0,4.0,4.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0
RC01607,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
"RC00064,RC00090,RC00141",4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0
