,MoH,AL-21,M2,VT,WeN3,SWAN-1,SMA-27,E09F3,BRM9,congo,A8P,MK4,petro,CANT
ABC_tran,28.0,23.0,27.0,18.0,23.0,22.0,16.0,22.0,26.0,21.0,25.0,27.0,21.0,16.0
TetR_N,24.0,12.0,20.0,10.0,8.0,4.0,10.0,10.0,13.0,12.0,12.0,20.0,10.0,3.0
MFS_1,23.0,19.0,19.0,16.0,8.0,15.0,9.0,13.0,9.0,15.0,7.0,19.0,13.0,6.0
Glycos_transf_2,21.0,18.0,18.0,14.0,15.0,14.0,13.0,15.0,10.0,15.0,12.0,18.0,10.0,12.0
Response_reg,16.0,8.0,19.0,9.0,7.0,6.0,10.0,1.0,8.0,3.0,8.0,19.0,6.0,4.0
Fer4,13.0,11.0,12.0,12.0,11.0,11.0,10.0,13.0,13.0,10.0,12.0,12.0,10.0,10.0
CBS,12.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,9.0,12.0,9.0,11.0
PadR,12.0,10.0,12.0,5.0,4.0,6.0,5.0,4.0,5.0,4.0,5.0,12.0,6.0,1.0
"DUF4015,PMBR,Transglut_core",11.0,1.0,14.0,2.0,7.0,1.0,1.0,3.0,1.0,6.0,1.0,13.0,3.0,4.0
"Glyco_transf_4,Glycos_transf_1",10.0,9.0,9.0,8.0,3.0,10.0,13.0,7.0,8.0,12.0,5.0,9.0,6.0,8.0
Radical_SAM,10.0,9.0,10.0,11.0,9.0,9.0,14.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0
Lactamase_B,10.0,7.0,10.0,6.0,5.0,7.0,6.0,5.0,7.0,5.0,6.0,10.0,5.0,3.0
HTH_5,9.0,11.0,9.0,13.0,7.0,9.0,11.0,12.0,8.0,13.0,8.0,9.0,7.0,6.0
MarR,9.0,6.0,9.0,3.0,0.0,7.0,3.0,6.0,6.0,5.0,3.0,9.0,4.0,2.0
CMD,9.0,7.0,9.0,7.0,8.0,6.0,4.0,7.0,9.0,7.0,7.0,9.0,8.0,4.0
ABC2_membrane_3,9.0,9.0,8.0,5.0,5.0,7.0,5.0,7.0,7.0,7.0,7.0,8.0,7.0,4.0
Usp,9.0,5.0,10.0,9.0,5.0,7.0,7.0,6.0,5.0,5.0,6.0,10.0,6.0,5.0
Metallophos,8.0,6.0,8.0,6.0,5.0,7.0,8.0,6.0,7.0,6.0,7.0,8.0,6.0,6.0
FMN_red,8.0,7.0,10.0,4.0,6.0,7.0,7.0,6.0,8.0,7.0,5.0,10.0,6.0,4.0
DUF4013,8.0,9.0,6.0,6.0,2.0,8.0,7.0,9.0,3.0,8.0,4.0,6.0,8.0,2.0
