,MoH,AL-21,M2,VT,WeN3,SWAN-1,SMA-27,E09F3,BRM9,congo,A8P,MK4,petro,CANT
"COG0784@1|root,arCOG06537@2157|Archaea",9.0,4.0,8.0,5.0,4.0,5.0,6.0,1.0,4.0,3.0,4.0,8.0,3.0,2.0
"COG0784@1|root,arCOG02589@2157|Archaea,2XVUK@28890|Euryarchaeota",8.0,2.0,10.0,3.0,1.0,0.0,3.0,0.0,4.0,0.0,3.0,10.0,3.0,1.0
"arCOG03597@1|root,arCOG03597@2157|Archaea",8.0,4.0,8.0,2.0,0.0,5.0,5.0,2.0,4.0,1.0,3.0,8.0,4.0,2.0
"COG0477@1|root,arCOG00143@2157|Archaea,2XUTR@28890|Euryarchaeota,23PFA@183925|Methanobacteria",8.0,5.0,5.0,5.0,4.0,2.0,4.0,1.0,2.0,1.0,3.0,5.0,3.0,4.0
"COG1305@1|root,arCOG02165@2157|Archaea",7.0,2.0,7.0,3.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0
"COG1873@1|root,arCOG02155@2157|Archaea",7.0,3.0,7.0,3.0,0.0,2.0,6.0,2.0,0.0,1.0,1.0,7.0,0.0,0.0
"arCOG10865@1|root,arCOG10865@2157|Archaea",7.0,13.0,6.0,1.0,1.0,7.0,0.0,5.0,1.0,5.0,1.0,6.0,1.0,0.0
"COG0531@1|root,arCOG00009@2157|Archaea,2XTX6@28890|Euryarchaeota",6.0,3.0,5.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,5.0,0.0,0.0
"COG1216@1|root,arCOG01383@2157|Archaea,2XUCM@28890|Euryarchaeota",6.0,3.0,5.0,3.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,5.0,1.0,1.0
"arCOG06468@1|root,arCOG06468@2157|Archaea",6.0,5.0,6.0,3.0,0.0,6.0,2.0,2.0,5.0,1.0,7.0,6.0,4.0,0.0
"arCOG02644@1|root,arCOG02644@2157|Archaea,2XWF8@28890|Euryarchaeota",6.0,1.0,4.0,2.0,2.0,0.0,1.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0
"COG3269@1|root,arCOG01641@2157|Archaea,2Y1N9@28890|Euryarchaeota",6.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0
"COG0577@1|root,arCOG02312@2157|Archaea,2XUEE@28890|Euryarchaeota",6.0,2.0,7.0,3.0,3.0,4.0,0.0,3.0,2.0,5.0,2.0,7.0,2.0,1.0
"COG1136@1|root,arCOG00922@2157|Archaea,2XUH3@28890|Euryarchaeota",6.0,4.0,8.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,8.0,2.0,0.0
"COG1287@1|root,arCOG02044@2157|Archaea,2XU59@28890|Euryarchaeota,23NKH@183925|Methanobacteria",6.0,2.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0
"COG1305@1|root,arCOG02165@2157|Archaea,2XXMP@28890|Euryarchaeota,23PG0@183925|Methanobacteria",5.0,2.0,6.0,2.0,3.0,0.0,2.0,3.0,0.0,3.0,0.0,6.0,1.0,0.0
"COG0640@1|root,arCOG00731@2157|Archaea,2XYSK@28890|Euryarchaeota",5.0,6.0,6.0,8.0,5.0,3.0,6.0,4.0,5.0,7.0,2.0,6.0,5.0,2.0
"arCOG06479@1|root,arCOG06479@2157|Archaea,2XZJM@28890|Euryarchaeota,23P66@183925|Methanobacteria",5.0,1.0,4.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0
"COG4063@1|root,arCOG03221@2157|Archaea,2XWSE@28890|Euryarchaeota,23PC8@183925|Methanobacteria",5.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0
"COG0491@1|root,arCOG00504@2157|Archaea",4.0,0.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,0.0
"COG0399@1|root,arCOG00118@2157|Archaea,2XTRQ@28890|Euryarchaeota,23NU5@183925|Methanobacteria",4.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,2.0
"arCOG01917@1|root,arCOG01917@2157|Archaea",4.0,4.0,7.0,3.0,0.0,3.0,3.0,5.0,4.0,3.0,7.0,7.0,5.0,0.0
"arCOG08232@1|root,arCOG08232@2157|Archaea",4.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
"arCOG02644@1|root,arCOG02644@2157|Archaea",4.0,2.0,4.0,1.0,3.0,0.0,2.0,1.0,2.0,3.0,0.0,4.0,3.0,0.0
"COG2141@1|root,arCOG02410@2157|Archaea,2XTN9@28890|Euryarchaeota,23NQ0@183925|Methanobacteria",4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
"COG2018@1|root,arCOG02603@2157|Archaea",4.0,0.0,6.0,0.0,3.0,4.0,0.0,4.0,5.0,4.0,1.0,6.0,2.0,0.0
"COG1773@1|root,arCOG04391@2157|Archaea",4.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0
"COG3409@1|root,arCOG05171@2157|Archaea",4.0,0.0,3.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0
"arCOG03950@1|root,arCOG03950@2157|Archaea",4.0,2.0,4.0,4.0,0.0,2.0,6.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0
"arCOG06478@1|root,arCOG06478@2157|Archaea",4.0,4.0,4.0,5.0,6.0,3.0,5.0,4.0,2.0,4.0,3.0,4.0,5.0,6.0
"arCOG09730@1|root,arCOG09730@2157|Archaea",4.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0
"COG3945@1|root,arCOG01471@2157|Archaea",4.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
"COG1695@1|root,arCOG00002@2157|Archaea",4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0
"arCOG00144@1|root,arCOG00144@2157|Archaea,2XWMT@28890|Euryarchaeota",4.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0
"arCOG07611@1|root,arCOG07611@2157|Archaea",3.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.0
"COG1719@1|root,arCOG01688@2157|Archaea,2XYSH@28890|Euryarchaeota,23P5X@183925|Methanobacteria",3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
"COG0784@1|root,COG3920@1|root,arCOG02335@2157|Archaea,arCOG02386@2157|Archaea",3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0
"COG0426@1|root,arCOG00509@2157|Archaea,2XSUD@28890|Euryarchaeota,23PC4@183925|Methanobacteria",3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
"COG1592@1|root,arCOG01097@2157|Archaea,2XX3D@28890|Euryarchaeota,23PQ8@183925|Methanobacteria",3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
"COG2036@1|root,arCOG02144@2157|Archaea,2XZYK@28890|Euryarchaeota,23PT2@183925|Methanobacteria",3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
"arCOG10162@1|root,arCOG10162@2157|Archaea",3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0
"COG0500@1|root,arCOG03411@2157|Archaea,2XVFA@28890|Euryarchaeota",3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
"arCOG10259@1|root,arCOG10259@2157|Archaea",3.0,0.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0
"arCOG02879@1|root,arCOG02879@2157|Archaea",3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0
"COG3315@1|root,arCOG03588@2157|Archaea",3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
"COG0589@1|root,arCOG02053@2157|Archaea,2XXRS@28890|Euryarchaeota",3.0,2.0,4.0,4.0,1.0,4.0,4.0,3.0,1.0,2.0,1.0,4.0,2.0,0.0
"arCOG12739@1|root,arCOG12739@2157|Archaea",3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0
"COG0489@1|root,arCOG00585@2157|Archaea,2XTU2@28890|Euryarchaeota,23NNY@183925|Methanobacteria",3.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
"COG4713@1|root,arCOG10204@2157|Archaea,2Y4AJ@28890|Euryarchaeota,23PN9@183925|Methanobacteria",3.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0
"arCOG13996@1|root,arCOG13996@2157|Archaea",3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0
"arCOG02348@1|root,arCOG02348@2157|Archaea",3.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0
"COG0589@1|root,arCOG02053@2157|Archaea,2XX8Y@28890|Euryarchaeota",3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0
