,MoH,AL-21,M2,VT,WeN3,SWAN-1,SMA-27,E09F3,BRM9,congo,A8P,MK4,petro,CANT
183925|Methanobacteria,1444.0,1337.0,1429.0,1311.0,1283.0,1364.0,1276.0,1282.0,1267.0,1299.0,1244.0,1431.0,1248.0,1223.0
28890|Euryarchaeota,634.0,462.0,687.0,442.0,360.0,421.0,445.0,367.0,436.0,371.0,439.0,687.0,396.0,334.0
2157|Archaea,521.0,471.0,616.0,393.0,247.0,392.0,390.0,291.0,349.0,308.0,350.0,614.0,334.0,185.0
186801|Clostridia,30.0,3.0,12.0,18.0,35.0,9.0,8.0,16.0,17.0,18.0,21.0,12.0,13.0,25.0
91061|Bacilli,17.0,0.0,6.0,9.0,12.0,1.0,8.0,12.0,13.0,8.0,14.0,6.0,9.0,6.0
2|Bacteria,17.0,1.0,4.0,11.0,16.0,4.0,13.0,12.0,11.0,13.0,16.0,4.0,16.0,18.0
976|Bacteroidetes,8.0,3.0,2.0,10.0,5.0,0.0,4.0,6.0,10.0,6.0,4.0,3.0,8.0,6.0
224756|Methanomicrobia,7.0,1.0,0.0,17.0,15.0,0.0,16.0,9.0,11.0,17.0,12.0,0.0,13.0,15.0
1117|Cyanobacteria,4.0,0.0,0.0,6.0,3.0,0.0,7.0,3.0,5.0,3.0,6.0,0.0,8.0,9.0
183939|Methanococci,3.0,0.0,0.0,1.0,5.0,0.0,3.0,4.0,0.0,7.0,1.0,0.0,5.0,12.0
28221|Deltaproteobacteria,3.0,0.0,0.0,2.0,5.0,1.0,1.0,1.0,3.0,3.0,8.0,0.0,6.0,8.0
4751|Fungi,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1236|Gammaproteobacteria,3.0,1.0,0.0,2.0,4.0,0.0,1.0,2.0,2.0,0.0,5.0,0.0,1.0,4.0
203682|Planctomycetes,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0
183968|Thermococci,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,5.0
72273|Thiotrichales,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
386456.JQKN01000005_gene530|-,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
201174|Actinobacteria,1.0,0.0,0.0,3.0,0.0,2.0,4.0,1.0,1.0,3.0,3.0,1.0,2.0,4.0
301297|Dehalococcoidia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
33208|Metazoa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1239|Firmicutes,1.0,0.0,0.0,2.0,3.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0
386456.JQKN01000007_gene3260|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28211|Alphaproteobacteria,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,3.0,1.0
183963|Halobacteria,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,2.0,3.0
1224|Proteobacteria,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0
386456.JQKN01000007_gene3374|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
386456.JQKN01000013_gene3001|-,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
386456.JQKN01000007_gene3258|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
386456.JQKN01000007_gene3206|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
386456.JQKN01000007_gene3202|-,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
247490.KSU1_D0005|-,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
386456.JQKN01000013_gene3010|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29547|Epsilonproteobacteria,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1090|Chlorobi,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
386456.JQKN01000013_gene2984|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
386456.JQKN01000019_gene1277|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
386456.JQKN01000002_gene2882|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
386456.JQKN01000002_gene2806|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
386456.JQKN01000002_gene2674|-,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
386456.JQKN01000002_gene2599|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
386456.JQKN01000002_gene2591|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
386456.JQKN01000002_gene2500|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
386456.JQKN01000003_gene269|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28883|Caudovirales,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386456.JQKN01000004_gene189|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
183980|Archaeoglobi,1.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,1.0,2.0,2.0,0.0,5.0,4.0
386456.JQKN01000008_gene1551|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
386456.JQKN01000014_gene3120|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
386456.JQKN01000012_gene1018|-,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
386456.JQKN01000012_gene1053|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
386456.JQKN01000012_gene1054|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
386456.JQKN01000013_gene3017|-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
877455.Metbo_2316|-,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32061|Chloroflexia,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
877455.Metbo_1686|-,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
877455.Metbo_1724|-,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
877455.Metbo_1784|-,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
877455.Metbo_1794|-,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
877455.Metbo_1804|-,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
877455.Metbo_1609|-,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
877455.Metbo_1836|-,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
