,Unnamed: 0,MoH,M2,MK4,AL-21,SMA-27,VT
7,T,117.0,120.0,121.0,86.0,98.0,94.0
8,P,116.0,122.0,122.0,93.0,98.0,104.0
15,I,36.0,38.0,38.0,30.0,31.0,31.0
53,pureT,123.0,129.0,130.0,92.0,102.0,98.0
54,pureP,120.0,127.0,128.0,101.0,103.0,109.0
55,pureL,113.0,114.0,114.0,94.0,115.0,109.0
61,pureI,40.0,42.0,42.0,32.0,33.0,34.0
0,,,,,,,
6,M,128.0,122.0,122.0,100.0,89.0,87.0
10,G,79.0,76.0,76.0,63.0,48.0,56.0
17,D,22.0,20.0,20.0,21.0,15.0,17.0
52,pureM,132.0,126.0,126.0,102.0,90.0,88.0
56,pureG,87.0,85.0,86.0,70.0,54.0,62.0
63,pureD,22.0,20.0,20.0,21.0,15.0,17.0
