,Unnamed: 0,MoH,M2,MK4,AL-21,SMA-27,VT
128,ko:K06945,2.0,3.0,3.0,4.0,7.0,7.0
145,ko:K07131,2.0,3.0,3.0,3.0,4.0,5.0
1167,"ko:K06147,ko:K06148,ko:K11085",0.0,1.0,1.0,0.0,1.0,1.0
0,,,,,,,
0,ko:K01992,11.0,9.0,9.0,11.0,8.0,8.0
1,ko:K01990,11.0,8.0,8.0,9.0,7.0,7.0
9,ko:K02016,6.0,4.0,4.0,2.0,1.0,0.0
33,ko:K05601,3.0,2.0,2.0,2.0,1.0,1.0
37,ko:K03593,3.0,2.0,2.0,1.0,0.0,0.0
129,ko:K22482,2.0,1.0,1.0,3.0,1.0,2.0
130,ko:K22480,2.0,1.0,1.0,2.0,1.0,1.0
155,ko:K14475,2.0,1.0,1.0,2.0,1.0,1.0
162,ko:K03154,2.0,1.0,1.0,3.0,2.0,2.0
166,ko:K03657,2.0,1.0,1.0,2.0,0.0,0.0
168,ko:K06919,2.0,1.0,1.0,1.0,0.0,0.0
675,ko:K09124,1.0,0.0,0.0,1.0,0.0,0.0
