,Unnamed: 0,MoH,M2,MK4,AL-21,SMA-27,VT
4,Response_reg,16.0,19.0,19.0,8.0,10.0,9.0
16,Usp,9.0,10.0,10.0,5.0,7.0,9.0
63,Flavin_Reduct,5.0,7.0,7.0,1.0,5.0,3.0
73,"B12-binding,Radical_SAM",5.0,6.0,6.0,3.0,9.0,6.0
79,"Fer4_12,Radical_SAM",4.0,5.0,5.0,2.0,3.0,3.0
101,Methyltransf_25,4.0,6.0,6.0,2.0,5.0,4.0
130,PIN,3.0,4.0,4.0,0.0,2.0,1.0
211,"Copper-bind,Cupredoxin_1",2.0,3.0,3.0,0.0,5.0,1.0
222,PEMT,2.0,4.0,4.0,0.0,2.0,1.0
259,"ATPase,Arf,Robl_LC7",2.0,4.0,4.0,1.0,2.0,2.0
339,Hexapep,2.0,3.0,3.0,3.0,5.0,5.0
865,ABM,1.0,2.0,2.0,1.0,5.0,3.0
988,Epimerase_2,1.0,2.0,2.0,1.0,2.0,2.0
1586,HXXEE,0.0,1.0,1.0,0.0,1.0,1.0
1607,"zf-ribbon_3,zinc_ribbon_2",0.0,1.0,1.0,0.0,1.0,1.0
1618,"CrtC,Lipocalin_9",0.0,1.0,1.0,0.0,1.0,2.0
0,,,,,,,
0,ABC_tran,28.0,27.0,27.0,23.0,16.0,18.0
1,TetR_N,24.0,20.0,20.0,12.0,10.0,10.0
2,MFS_1,23.0,19.0,19.0,19.0,9.0,16.0
3,Glycos_transf_2,21.0,18.0,18.0,18.0,13.0,14.0
15,ABC2_membrane_3,9.0,8.0,8.0,9.0,5.0,5.0
19,DUF4013,8.0,6.0,6.0,9.0,7.0,6.0
35,Methyltransf_11,7.0,6.0,6.0,2.0,0.0,1.0
41,STT3,6.0,4.0,4.0,2.0,1.0,1.0
50,Peripla_BP_2,6.0,4.0,4.0,2.0,1.0,0.0
81,"Abhydrolase_1,Abhydrolase_6",4.0,3.0,3.0,1.0,0.0,0.0
85,CCG,4.0,3.0,3.0,5.0,3.0,4.0
159,DUF2142,3.0,2.0,2.0,1.0,0.0,0.0
183,Fer4_8,3.0,2.0,2.0,4.0,2.0,3.0
186,"Beta_helix,NosD",3.0,2.0,2.0,2.0,0.0,0.0
191,ParA,3.0,2.0,2.0,1.0,0.0,0.0
217,"UvrD-helicase,UvrD_C",2.0,1.0,1.0,1.0,0.0,0.0
218,ThiS,2.0,1.0,1.0,3.0,2.0,2.0
219,"Cas_APE2256,HTH_24,HTH_5",2.0,1.0,1.0,1.0,0.0,0.0
236,"Big_5,CHB_HEX_C_1,DUF11",2.0,1.0,1.0,1.0,0.0,0.0
251,DUF2971,2.0,0.0,0.0,1.0,0.0,0.0
272,"Beta_propel,Inhibitor_I42",2.0,1.0,1.0,2.0,1.0,1.0
317,"Fer4,Fer4_21,Fer4_9",2.0,1.0,1.0,3.0,1.0,0.0
676,"FlpD,NAD_binding_8",1.0,0.0,0.0,1.0,0.0,0.0
770,"Big_5,CHB_HEX_C_1,PKD",1.0,0.0,0.0,1.0,0.0,0.0
1118,PDDEXK_1,1.0,0.0,0.0,1.0,0.0,0.0
1122,"DUF2357,PDDEXK_7",1.0,0.0,0.0,1.0,0.0,0.0
1123,DUF3578,1.0,0.0,0.0,1.0,0.0,0.0
1173,"GAF_2,HATPase_c,HisKA_2,PAS_3,PAS_9,Response_reg",1.0,0.0,0.0,1.0,0.0,0.0
