,Unnamed: 0,MoH,M2,MK4,AL-21,SMA-27,VT
1,"COG0784@1|root,arCOG02589@2157|Archaea,2XVUK@28890|Euryarchaeota",8.0,10.0,10.0,2.0,3.0,3.0
45,"COG0589@1|root,arCOG02053@2157|Archaea,2XXRS@28890|Euryarchaeota",3.0,4.0,4.0,2.0,4.0,4.0
121,"arCOG02449@1|root,arCOG02449@2157|Archaea",2.0,3.0,3.0,1.0,3.0,2.0
166,"COG2244@1|root,arCOG02209@2157|Archaea,2XSUR@28890|Euryarchaeota",2.0,3.0,3.0,2.0,4.0,3.0
182,"COG1853@1|root,arCOG02017@2157|Archaea,2XWBK@28890|Euryarchaeota",2.0,3.0,3.0,0.0,2.0,1.0
216,"COG3794@1|root,arCOG02926@2157|Archaea,2Y7QT@28890|Euryarchaeota",2.0,3.0,3.0,0.0,3.0,1.0
531,"COG1266@1|root,arCOG02766@2157|Archaea",1.0,2.0,2.0,0.0,1.0,1.0
924,"arCOG08127@1|root,arCOG08127@2157|Archaea",1.0,2.0,2.0,2.0,4.0,4.0
1151,"COG1359@1|root,arCOG04806@2157|Archaea,2Y0UN@28890|Euryarchaeota,23P6M@183925|Methanobacteria",1.0,2.0,2.0,0.0,2.0,2.0
1773,"COG0582@1|root,arCOG01245@2157|Archaea,2XZM9@28890|Euryarchaeota,23PG5@183925|Methanobacteria",1.0,3.0,3.0,1.0,4.0,3.0
2818,"arCOG13227@1|root,arCOG13227@2157|Archaea",0.0,1.0,1.0,0.0,1.0,1.0
2825,"arCOG10138@1|root,arCOG10138@2157|Archaea,2XZ4D@28890|Euryarchaeota",0.0,1.0,1.0,0.0,1.0,1.0
2826,"COG1132@1|root,arCOG02841@2157|Archaea,2XT2Z@28890|Euryarchaeota",0.0,1.0,1.0,0.0,1.0,1.0
2841,"arCOG01788@1|root,arCOG01788@2157|Archaea,2XXVU@28890|Euryarchaeota",0.0,1.0,1.0,0.0,1.0,1.0
