,MoH,AL-21,M2,VT,WeN3,SWAN-1,SMA-27,E09F3,BRM9,congo,A8P,MK4,petro,CANT
"response regulator, receiver",29.0,18.0,31.0,18.0,12.0,8.0,20.0,6.0,15.0,8.0,18.0,31.0,17.0,7.0
"Bacterial regulatory proteins, tetR family",19.0,8.0,15.0,8.0,8.0,3.0,8.0,8.0,8.0,11.0,5.0,15.0,8.0,3.0
PFAM Major Facilitator Superfamily,18.0,15.0,17.0,15.0,5.0,10.0,8.0,7.0,7.0,10.0,6.0,18.0,12.0,7.0
PFAM Glycosyl transferase family 2,16.0,12.0,15.0,11.0,9.0,10.0,10.0,12.0,7.0,9.0,10.0,15.0,6.0,9.0
PFAM Transglutaminase-like,16.0,7.0,16.0,9.0,7.0,5.0,7.0,3.0,5.0,7.0,5.0,15.0,3.0,4.0
Transcriptional regulator,16.0,14.0,16.0,13.0,9.0,12.0,10.0,16.0,17.0,15.0,18.0,16.0,15.0,10.0
"PFAM 4Fe-4S ferredoxin, iron-sulfur binding domain protein",15.0,13.0,13.0,9.0,8.0,7.0,11.0,6.0,9.0,7.0,10.0,13.0,10.0,8.0
PAS domain,15.0,10.0,14.0,10.0,11.0,3.0,12.0,4.0,15.0,4.0,15.0,14.0,14.0,8.0
4Fe-4S dicluster domain,13.0,11.0,14.0,10.0,15.0,12.0,10.0,11.0,12.0,11.0,11.0,14.0,12.0,10.0
Transglutaminase-like superfamily,11.0,12.0,11.0,6.0,3.0,11.0,6.0,4.0,7.0,4.0,9.0,11.0,6.0,2.0
"Part of a complex that catalyzes the formation of methyl-coenzyme M and tetrahydromethanopterin from coenzyme M and methyl-tetrahydromethanopterin. This is an energy-conserving, sodium-ion translocating step",11.0,7.0,10.0,7.0,7.0,7.0,7.0,8.0,9.0,8.0,8.0,10.0,8.0,7.0
Protein of unknown function (DUF2769),11.0,5.0,11.0,5.0,0.0,8.0,8.0,3.0,4.0,2.0,3.0,11.0,4.0,3.0
Protein of unknown function (DUF4013),11.0,14.0,14.0,9.0,2.0,12.0,9.0,15.0,6.0,14.0,8.0,14.0,11.0,4.0
Major facilitator superfamily,9.0,6.0,7.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,1.0,7.0,0.0,0.0
4Fe-4S binding domain,9.0,7.0,9.0,7.0,6.0,4.0,7.0,8.0,5.0,7.0,8.0,9.0,5.0,6.0
membrane,8.0,11.0,10.0,8.0,1.0,10.0,10.0,3.0,3.0,3.0,5.0,10.0,3.0,2.0
"ABC-type antimicrobial peptide transport system, permease component",8.0,5.0,10.0,5.0,4.0,5.0,2.0,4.0,3.0,6.0,3.0,10.0,3.0,1.0
Methyltransferase domain,8.0,4.0,5.0,3.0,6.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,1.0,5.0
